Room: 303, Node number: 2, [2, '303', 1.0, 1528959916.157, datetime.datetime(2018, 6, 14, 12, 35, 16, 157000)]
Room: 303, Node number: 2, [2, '303', 1.0, 1528959916.161, datetime.datetime(2018, 6, 14, 12, 35, 16, 161000)]
Room: 303, Node number: 2, [2, '303', 1.0, 1528959961.861, datetime.datetime(2018, 6, 14, 12, 36, 1, 861000)]
Room: 303, Node number: 2, [2, '303', 1.0, 1528959961.892, datetime.datetime(2018, 6, 14, 12, 36, 1, 892000)]
Room: 303, Node number: 2, [2, '303', 0.0, 1528959966.897, datetime.datetime(2018, 6, 14, 12, 36, 6, 897000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969590.93, datetime.datetime(2018, 6, 14, 15, 16, 30, 930000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969592.918, datetime.datetime(2018, 6, 14, 15, 16, 32, 918000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969595.454, datetime.datetime(2018, 6, 14, 15, 16, 35, 454000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969597.441, datetime.datetime(2018, 6, 14, 15, 16, 37, 441000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969599.415, datetime.datetime(2018, 6, 14, 15, 16, 39, 415000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969601.407, datetime.datetime(2018, 6, 14, 15, 16, 41, 407000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969604.444, datetime.datetime(2018, 6, 14, 15, 16, 44, 444000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969607.482, datetime.datetime(2018, 6, 14, 15, 16, 47, 482000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969632.533, datetime.datetime(2018, 6, 14, 15, 17, 12, 533000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969634.994, datetime.datetime(2018, 6, 14, 15, 17, 14, 994000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969642.278, datetime.datetime(2018, 6, 14, 15, 17, 22, 278000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969644.267, datetime.datetime(2018, 6, 14, 15, 17, 24, 267000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969650.546, datetime.datetime(2018, 6, 14, 15, 17, 30, 546000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969652.533, datetime.datetime(2018, 6, 14, 15, 17, 32, 533000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969655.591, datetime.datetime(2018, 6, 14, 15, 17, 35, 591000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969659.108, datetime.datetime(2018, 6, 14, 15, 17, 39, 108000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969662.127, datetime.datetime(2018, 6, 14, 15, 17, 42, 127000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969664.846, datetime.datetime(2018, 6, 14, 15, 17, 44, 846000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969667.333, datetime.datetime(2018, 6, 14, 15, 17, 47, 333000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969670.371, datetime.datetime(2018, 6, 14, 15, 17, 50, 371000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969672.366, datetime.datetime(2018, 6, 14, 15, 17, 52, 366000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969675.085, datetime.datetime(2018, 6, 14, 15, 17, 55, 85000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969677.61, datetime.datetime(2018, 6, 14, 15, 17, 57, 610000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969679.594, datetime.datetime(2018, 6, 14, 15, 17, 59, 594000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969682.653, datetime.datetime(2018, 6, 14, 15, 18, 2, 653000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969684.645, datetime.datetime(2018, 6, 14, 15, 18, 4, 645000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969687.113, datetime.datetime(2018, 6, 14, 15, 18, 7, 113000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969689.098, datetime.datetime(2018, 6, 14, 15, 18, 9, 98000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969692.894, datetime.datetime(2018, 6, 14, 15, 18, 12, 894000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969694.776, datetime.datetime(2018, 6, 14, 15, 18, 14, 776000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969697.261, datetime.datetime(2018, 6, 14, 15, 18, 17, 261000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969699.264, datetime.datetime(2018, 6, 14, 15, 18, 19, 264000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969703.57, datetime.datetime(2018, 6, 14, 15, 18, 23, 570000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969706.276, datetime.datetime(2018, 6, 14, 15, 18, 26, 276000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969708.247, datetime.datetime(2018, 6, 14, 15, 18, 28, 247000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969711.77, datetime.datetime(2018, 6, 14, 15, 18, 31, 770000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969714.321, datetime.datetime(2018, 6, 14, 15, 18, 34, 321000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969717.623, datetime.datetime(2018, 6, 14, 15, 18, 37, 623000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969724.577, datetime.datetime(2018, 6, 14, 15, 18, 44, 577000)]
